,State,2017_hatecrimes_per_100k,2018_hatecrimes_per_100k,2019_hatecrimes_per_100k
0,Alabama,0.3083961890454932,0.0,0.0
1,Alaska,0.5433269266033238,0.954007307695977,1.5114208455163014
2,Arizona,3.907756230021781,2.326466286910754,3.2677061203353888
3,Arkansas,0.2468056299889995,0.45218020424631994,0.3198752344418906
4,California,2.767578270857573,2.689747313295416,2.5694536614980485
5,Colorado,1.90113079618461,2.1952036795242105,3.6807654589958343
6,Connecticut,3.0934868445988277,2.5713763275920742,2.2526033870855877
7,Delaware,3.0147441781651434,1.6624188401927158,2.2592743210880664
8,District of Columbia,27.81092032531572,30.32222704657238,31.455942551813745
9,Florida,0.7067883954509344,0.673913644036519,0.5310537254136478
10,Georgia,0.3017429679639491,0.4118852671228943,1.097861548680096
11,Idaho,3.119006578749914,1.3226402660002095,1.3464975914524333
12,Illinois,0.6682839137379124,0.8959489292363626,0.536040298355082
13,Indiana,2.4045839239137186,3.5616755719651527,2.0582320500210765
14,Iowa,0.35429709228376366,0.3287231014104193,0.3188858892356241
15,Kansas,2.861737990716522,2.6941843103200536,2.987477871598201
16,Kentucky,8.505393161798905,5.2831569808039305,3.2734978288413545
17,Louisiana,0.6905838886778771,1.2753197013938111,0.7351810128758471
18,Maine,2.3953763248489603,1.4943171120229766,1.4134675185164245
19,Maryland,0.793103043747729,0.811282186792922,0.29773325746648843
20,Massachusetts,6.370072890342254,5.230181475410421,5.728641064464191
21,Michigan,4.592644054676233,4.332516086099459,4.3533167960792065
22,Minnesota,2.6504420882942132,2.297382278758896,1.8795901987323247
23,Mississippi,0.14661767681358734,0.6938219319887989,1.5872511983746547
24,Missouri,1.7186079079533247,1.081140251594851,1.3656007796099678
25,Montana,1.428564625882734,0.6589109707735332,3.0318534098876317
26,Nebraska,2.411775897783578,1.9089423280450017,2.5370212061881254
27,Nevada,0.1667756823710432,1.08753252710922,1.432877971227159
28,New Hampshire,1.0034301875025087,0.9868992914822241,1.2180694512749382
29,New Jersey,5.496553050509214,6.297342319487412,5.464182285121031
30,New Mexico,1.2469383210866176,1.4615739167518818,6.104171346531365
31,New York,2.804076578721783,2.7030172701613564,3.2243467201771012
32,North Carolina,1.6160802712912004,1.3552684172023446,2.402675069774828
33,North Dakota,1.9877975732967226,1.3146650890685596,2.3620125396621274
34,Ohio,3.9159577752578243,3.5808989529656086,4.018134013504424
35,Oklahoma,0.9448148941641337,0.5523047816614929,0.7095413803265969
36,Oregon,3.741163742793455,2.940453083949686,4.314511625636483
37,Pennsylvania,0.6126979289238983,0.5270522134895002,0.3257718508489336
38,Rhode Island,1.0380893870459655,1.2307331098448235,1.6063057895985087
39,South Carolina,1.7412077016618728,2.237831488869611,1.3381380360226758
40,South Dakota,2.127438576468277,2.479728221786892,2.356439796497859
41,Tennessee,2.0250197141625117,2.5232761088945037,1.7128717480690667
42,Texas,0.6762313300537774,1.6340011286458784,1.5786374897531368
43,Utah,2.552083776403433,1.0754832830789327,0.5849197928734022
44,Vermont,5.4517146444279465,7.1317632888522615,5.249226932033646
45,Virginia,2.279237539538276,1.6803582570807125,1.9100911875189253
46,Washington,6.895464487952271,6.765286539299229,7.1431612073102215
47,West Virginia,1.9483890593554731,2.732264742474517,1.9682814617093063
48,Wisconsin,0.7976092529609076,0.9015631718379405,1.2735128768501003
49,Wyoming,0.7231324652128088,0.0,0.9752044516132807
50,Hawaii,,4.480565039983951,4.205550916912674
51,Federal,,,
52,"Federal Bureau of Investigation, Field Offices2",,0.0,
53,1 Federal includes only the Federal Bureau of Investigation field offices.,,,
54,2 Population estimates are not attributed to the Federal Bureau of Investigation field offices.,,,
55,Federal2,,,
56,"Federal Bureau of Investigation, Field Offices",,,0.0
57,Pentagon Force Protection Agency,,,0.0
58,"United States Air Force, Office of Special Investigations",,,
59,United States Army,,,0.0
60,United States Marine Corps Law Enforcement,,,
61,United States Navy Law Enforcement,,,0.0
62,1 Limited data for 2019 were available for Alabama.,,,
63,2 Population estimates are not attributed to the federal agencies.,,,
