,State,share_unemployed_seasonal,share_population_with_high_school_degree,share_non_citizen,share_white_poverty,gini_index,share_non_white,share_voters_voted_trump,hate_crimes_per_100k_splc,avg_hatecrimes_per_100k_fbi,2017_hatecrimes_per_100k,2018_hatecrimes_per_100k,2019_hatecrimes_per_100k
0,Alabama,0.06,0.821,0.02,0.12,0.472,0.35,0.63,0.125838926,1.806410489,3.2425822222222225,0.0,0.0
1,Alaska,0.064,0.914,0.04,0.06,0.422,0.42,0.53,0.143740118,1.656700109,1.8405125,1.0482099999999999,0.6616290909090909
2,Arizona,0.063,0.842,0.1,0.09,0.455,0.49,0.5,0.225319954,3.413927994,0.2559013257575758,0.42983644578313257,0.30602507177033494
3,Arkansas,0.052,0.824,0.04,0.12,0.458,0.26,0.6,0.069060773,0.869208872,4.051771428571429,2.211507692307692,3.126218888888889
4,California,0.059,0.806,0.13,0.09,0.471,0.61,0.33,0.255805361,2.397985899,0.36132672760511886,0.3717821354656632,0.38918779310344825
5,Colorado,0.04,0.893,0.06,0.07,0.457,0.31,0.44,0.390523301,2.804688765,0.5260027358490567,0.4555385950413223,0.27168261904761903
6,Connecticut,0.052,0.886,0.06,0.06,0.486,0.3,0.41,0.335392269,3.772701469,0.32325981981981977,0.3888967901234568,0.4439307894736842
7,Delaware,0.049,0.874,0.05,0.08,0.44,0.37,0.42,0.322754169,1.469979563,0.33170310344827586,0.601533125,0.44262
8,District of Columbia,0.067,0.871,0.11,0.04,0.532,0.63,0.04,1.52230172,10.95347971,0.03595709844559586,0.032979107981220654,0.031790495495495494
9,Florida,0.052,0.853,0.09,0.11,0.474,0.46,0.49,0.187521223,0.698070342,1.4148506206896552,1.4838696453900708,1.8830486486486488
10,Georgia,0.058,0.839,0.08,0.09,0.468,0.48,0.51,0.120420267,0.412011824,3.314078888888889,2.4278605714285715,0.9108616666666666
11,Hawaii,0.034,0.904,0.08,0.07,0.433,0.81,0.3,,,,0.22318613636363638,0.23778097560975608
12,Idaho,0.042,0.884,0.04,0.11,0.433,0.16,0.59,0.124208173,1.891330529,0.32061490566037737,0.7560634782608695,0.7426675
13,Illinois,0.054,0.864,0.07,0.07,0.465,0.37,0.39,0.195344549,1.044015798,1.49637,1.116135046728972,1.8655313846153847
14,Indiana,0.044,0.866,0.03,0.12,0.44,0.2,0.57,0.247008877,1.757356567,0.4158723636363636,0.28076672897196264,0.48585386666666663
15,Iowa,0.036,0.914,0.03,0.09,0.427,0.15,0.52,0.454427421,0.561395565,2.82249,3.042074,3.1359179999999998
16,Kansas,0.044,0.897,0.04,0.11,0.445,0.25,0.57,0.105152471,2.143986672,0.349438,0.37116985507246375,0.3347305128205128
17,Kentucky,0.05,0.817,0.03,0.17,0.466,0.15,0.63,0.324396969,4.207889621,0.11757246031746033,0.1892807659574468,0.3054836301369863
18,Louisiana,0.06,0.822,0.02,0.12,0.475,0.42,0.58,0.109733348,1.341169554,1.4480499999999998,0.784117111111111,1.3602092307692308
19,Maine,0.044,0.902,,0.12,0.437,0.09,0.45,0.615574023,2.626610924,0.4174709375,0.6692020000000001,0.70748
20,Maryland,0.051,0.89,0.08,0.06,0.443,0.5,0.35,0.37043897,1.324839538,1.2608702083333332,1.2326167346938777,3.358711111111111
21,Massachusetts,0.046,0.89,0.09,0.08,0.475,0.27,0.34,0.630810592,4.801899339,0.156984074941452,0.19119795454545455,0.17456146907216494
22,Michigan,0.05,0.879,0.04,0.09,0.451,0.24,0.48,0.403779375,3.200442266,0.21773949561403508,0.23081276102088166,0.2297099078341014
23,Minnesota,0.038,0.915,0.05,0.05,0.44,0.18,0.45,0.62747993,3.612411816,0.3772955479452055,0.4352780158730159,0.5320308653846154
24,Mississippi,0.061,0.804,,0.14,0.468,0.44,0.58,0.067446801,0.622745989,6.82046,1.441292,0.63002
25,Missouri,0.053,0.868,0.02,0.07,0.455,0.2,0.57,0.18452351,1.908954989,0.5818662857142857,0.924949375,0.7322784337349398
26,Montana,0.041,0.908,0.01,0.1,0.435,0.1,0.57,0.495491032,2.954959378,0.7000033333333333,1.5176557142857143,0.32983125
27,Nebraska,0.029,0.898,0.05,0.07,0.432,0.21,0.6,0.159489633,2.68624842,0.4146322222222222,0.523850294117647,0.39416304347826087
28,Nevada,0.067,0.839,0.1,0.08,0.448,0.5,0.46,0.14167316,2.113990154,5.996078,0.9195127272727273,0.6978961363636363
29,New Hampshire,0.034,0.913,0.03,0.06,0.425,0.09,0.47,0.151549595,2.105988585,0.9965815384615385,1.0132746153846155,0.82097125
30,New Jersey,0.056,0.874,0.11,0.07,0.464,0.44,0.42,0.078305908,4.413202591,0.18193220202020202,0.15879714795008912,0.18301
31,New Mexico,0.068,0.828,0.06,0.1,0.464,0.62,0.4,0.294811321,1.886435184,0.8019642857142857,0.6841939285714286,0.1638224
32,New York,0.051,0.847,0.1,0.1,0.499,0.42,0.37,0.350620446,3.102164284,0.3566236413043478,0.3699569407265774,0.3101403436988543
33,North Carolina,0.058,0.843,0.05,0.1,0.464,0.38,0.51,0.244006588,1.262679796,0.6187811445783132,0.7378612142857143,0.4162027619047619
34,North Dakota,0.028,0.901,0.03,0.09,0.433,0.15,0.64,,4.741069885,0.5030693333333333,0.7606499999999999,0.4233677777777778
35,Ohio,0.045,0.876,0.03,0.1,0.452,0.21,0.52,0.190713964,3.240420404,0.2553653684210526,0.2792594857142857,0.2488717391304348
36,Oklahoma,0.044,0.856,0.04,0.1,0.454,0.35,0.65,0.133629099,1.08167215,1.0584083783783784,1.8105944999999999,1.4093610714285716
37,Oregon,0.062,0.891,0.07,0.1,0.449,0.26,0.41,0.832849608,3.394886113,0.26729650684931505,0.34008364406779656,0.23177594285714284
38,Pennsylvania,0.053,0.879,0.03,0.09,0.461,0.24,0.49,0.285101092,0.43092759,1.632125641025641,1.897345223880597,3.0696329268292684
39,Rhode Island,0.054,0.847,0.08,0.08,0.467,0.28,0.4,0.095401641,1.282571834,0.9633081818181818,0.8125238461538462,0.6225464705882353
40,South Carolina,0.057,0.836,0.03,0.09,0.461,0.36,0.55,0.209894423,1.937082833,0.5743140229885058,0.4468611711711712,0.7473070588235293
41,South Dakota,0.035,0.899,,0.08,0.442,0.17,0.62,,3.301737127,0.47004882352941174,0.40327,0.424369
42,Tennessee,0.057,0.831,0.04,0.13,0.468,0.27,0.61,0.19993848,3.13605115,0.4938223529411765,0.39631017647058825,0.5838148717948718
43,Texas,0.042,0.799,0.11,0.08,0.469,0.56,0.53,0.213583938,0.752768305,1.478783894736842,0.6119946813186813,0.6334576535087719
44,Utah,0.036,0.904,0.04,0.08,0.419,0.19,0.47,0.136546733,2.384065044,0.39183666666666667,0.9298145454545454,1.7096361111111111
45,Vermont,0.037,0.91,0.01,0.1,0.444,0.06,0.33,0.324149109,1.90308139,0.1834285294117647,0.14021777777777777,0.19050424242424244
46,Virginia,0.043,0.866,0.06,0.07,0.459,0.38,0.45,0.363248898,1.724754584,0.4387432124352332,0.5951111888111887,0.5235352147239264
47,Washington,0.052,0.897,0.08,0.09,0.441,0.31,0.38,0.67748765,3.817740296,0.14502286274509804,0.1478133992094862,0.1399940405904059
48,West Virginia,0.073,0.828,0.01,0.14,0.451,0.07,0.69,0.328677075,2.037053631,0.5132445161290322,0.3659967441860465,0.5080574193548387
49,Wisconsin,0.043,0.898,0.03,0.09,0.43,0.22,0.48,0.226197105,1.121944651,1.2537467391304349,1.1091846153846154,0.7852295945945946
50,Wyoming,0.04,0.918,0.02,0.09,0.423,0.15,0.7,,0.26694076,1.3828725,0.0,1.025426
